"","Frag_ID","Species","Genotype","Timepoint","Treatment","Temperature","Trt_temp","Squares_counted.1mm2","Total.blastate.ml","rep1","rep2","rep3","rep4","Mean.cells","Stdev","StError","CV","Cells.mm2","Cells.ml","Total.cells","Surface_area.cm2","AFDW_gdw","Symb_density.cells..cm2","Symb_density.cells..gdw","Log_Symb_density.cells..gdw","Facet"
"69","P-8-4","Porites","8","T2","Control","Heated","c-h",4,25,97,86,118,117,104.5,15.7,7.84,15,26.13,261250,6531250,44.28470588,0.1275,147483.196968678,51225490.1960784,7.70948612302117,"Porites - Bleaching Period"
"70","P-8-9","Porites","8","T2","Inorganic","Heated","i-h",4,25,29,26,29,37,30.25,4.7,2.36,15.59,7.56,75625,1890625,54.60705882,0.155,34622.3554400178,12197580.6451613,7.08627369816227,"Porites - Bleaching Period"
"71","P-8-14","Porites","8","T2","Guano","Heated","g-h",4,25,38,51,49,38,44,7,3.49,15.85,11,110000,2750000,19.33019608,NA,142264.464810333,NA,NA,"Porites - Bleaching Period"
"72","P-8-19","Porites","8","T2","Effluent","Heated","e-h",4,25,36,36,29,39,35,4.2,2.12,12.12,8.75,87500,2187500,34.24196078,0.1,63883.6080110714,21875000,7.33994806169435,"Porites - Bleaching Period"
"73","P-9-26","Porites","9","T2","Control","Ambient","c-a",2,25,96,100,80,87,90.75,9,4.5,9.91,45.38,453750,11343750,19.39921569,0.045,584753.022043439,252083333.333333,8.40154413294086,"Porites - Bleaching Period"
"74","P-9-27","Porites","9","T2","Inorganic","Ambient","i-a",2,25,98,143,130,87,114.5,26.3,13.17,23,57.25,572500,14312500,14.54862745,0.0775,983769.77822743,184677419.354839,8.26641379717765,"Porites - Bleaching Period"
"75","P-9-28","Porites","9","T2","Guano","Ambient","g-a",1,25,81,86,65,79,77.75,9,4.5,11.57,77.75,777500,19437500,24.24745098,0.105,801630.654539012,185119047.619048,8.26745110730097,"Porites - Bleaching Period"
"76","P-9-29","Porites","9","T2","Effluent","Ambient","e-a",2,25,119,108,134,129,122.5,11.5,5.75,9.39,61.25,612500,15312500,20.22431373,0.0925,757133.231041902,165540540.540541,8.21890436896958,"Porites - Bleaching Period"
"77","P-9-4","Porites","9","T2","Control","Heated","c-h",4,25,48,32,38,39,39.25,6.6,3.3,16.82,9.81,98125,2453125,20.64,0.0525,118852.955426357,46726190.4761905,7.66956037501939,"Porites - Bleaching Period"
"78","P-9-9","Porites","9","T2","Inorganic","Heated","i-h",4,25,38,46,47,47,44.5,4.4,2.18,9.8,11.13,111250,2781250,26.09960784,0.0825,106562.903820244,33712121.2121212,7.52778607977508,"Porites - Bleaching Period"
"79","P-9-14","Porites","9","T2","Guano","Heated","g-h",4,25,49,51,35,33,42,9.3,4.65,22.17,10.5,105000,2625000,34.24941176,0.0675,76643.6521127568,38888888.8888889,7.58982553491095,"Porites - Bleaching Period"
"80","P-9-19","Porites","9","T2","Effluent","Heated","e-h",4,25,38,26,29,32,31.25,5.1,2.56,16.4,7.81,78125,1953125,28.06941176,0.0675,69581.9711755869,28935185.1851852,7.46142626619314,"Porites - Bleaching Period"
"81","M-1-2","Montipora","1","T3","Control","Ambient","c-a",1,25,84,96,81,76,84.25,8.5,4.25,10.09,84.25,842500,21062500,25.6920904,0.0825,819804.837678759,255303030.30303,8.40705596966549,"Montipora - Recovery Period"
"82","M-1-7","Montipora","1","T3","Inorganic","Ambient","i-a",2,25,130,108,119,131,122,10.8,5.4,8.85,61,610000,15250000,28.24491525,0.1025,539920.18970565,148780487.804878,8.17254597829103,"Montipora - Recovery Period"
"83","M-1-12","Montipora","1","T3","Guano","Ambient","g-a",1,25,167,166,176,133,160.5,18.9,9.44,11.76,160.5,1605000,40125000,34.0819209,0.1175,1177310.40212584,341489361.702128,8.53337717880517,"Montipora - Recovery Period"
"84","M-1-17","Montipora","1","T3","Effluent","Ambient","e-a",2,25,120,135,114,112,120.25,10.4,5.2,8.65,60.13,601250,15031250,30.44717514,0.0925,493682.909198781,162500000,8.21085336531489,"Montipora - Recovery Period"
"85","M-1-22","Montipora","1","T3","Control","Heated","c-h",3,25,103,94,68,118,95.75,21,10.49,21.91,31.92,319167,7979167,21.79830508,0.0625,366045.294380291,127666672,8.10607753739181,"Montipora - Recovery Period"
"86","M-1-23","Montipora","1","T3","Inorganic","Heated","i-h",3,25,112,82,94,76,91,15.9,7.94,17.44,30.33,303333,7583333,23.57457627,0.0575,321674.201612278,131884052.173913,8.12019228249397,"Montipora - Recovery Period"
"87","M-1-24","Montipora","1","T3","Guano","Heated","g-h",4,25,22,11,20,23,19,5.5,2.74,28.83,4.75,47500,1187500,18.69887006,0.0425,63506.5111522573,27941176.4705882,7.44624468824659,"Montipora - Recovery Period"
"88","M-1-25","Montipora","1","T3","Effluent","Heated","e-h",2,25,103,133,158,108,125.5,25.3,12.67,20.18,62.75,627500,15687500,27.41525424,0.0925,572217.928846025,169594594.594595,8.22941200608608,"Montipora - Recovery Period"
"89","M-3-2","Montipora","3","T3","Control","Ambient","c-a",2,25,170,131,129,141,142.75,18.9,9.45,13.25,71.38,713750,17843750,20.44858757,0.075,872615.281564897,237916666.666667,8.37642486653424,"Montipora - Recovery Period"
"90","M-3-7","Montipora","3","T3","Inorganic","Ambient","i-a",3,25,102,150,105,158,128.75,29.4,14.68,22.81,42.92,429167,10729167,21.97740113,0.0775,488190.88920183,138440864.516129,8.14126430265194,"Montipora - Recovery Period"
"91","M-3-12","Montipora","3","T3","Guano","Ambient","g-a",2,25,97,83,93,98,92.75,6.8,3.42,7.38,46.38,463750,11593750,18.1019774,0.0625,640468.703711894,185500000,8.26834391395106,"Montipora - Recovery Period"
"92","M-3-17","Montipora","3","T3","Effluent","Ambient","e-a",2,25,80,91,69,89,82.25,10,5.02,12.21,41.13,411250,10281250,19.00649718,0.08,540933.445159936,128515625,8.10895593263812,"Montipora - Recovery Period"
"93","M-3-22","Montipora","3","T3","Control","Heated","c-h",3,25,98,73,88,78,84.25,11.1,5.54,13.16,28.08,280833,7020833,31.34519774,0.08,223984.326346764,87760412.5,7.94329865588448,"Montipora - Recovery Period"
"94","M-3-23","Montipora","3","T3","Inorganic","Heated","i-h",2,25,106,119,85,106,104,14.1,7.04,13.53,52,520000,1.3e+07,22.34096045,0.095,581890.829138458,136842105.263158,8.13621974701799,"Montipora - Recovery Period"
"95","M-3-15","Montipora","3","T3","Guano","Heated","g-h",3,25,94,108,87,74,90.75,14.2,7.09,15.62,30.25,302500,7562500,18.82033898,0.06,401825.918653034,126041666.666667,8.10051413727688,"Montipora - Recovery Period"
"96","M-3-25","Montipora","3","T3","Effluent","Heated","e-h",2,25,88,123,132,85,107,24,11.99,22.42,53.5,535000,13375000,23.55903955,0.0775,567722.634516312,172580645.16129,8.23699208818696,"Montipora - Recovery Period"
"97","M-4-2","Montipora","4","T3","Control","Ambient","c-a",2,25,122,149,104,108,120.75,20.4,10.18,16.86,60.38,603750,15093750,29.51497175,0.0925,511393.001756812,163175675.675676,8.21265541969257,"Montipora - Recovery Period"
"98","M-4-7","Montipora","4","T3","Inorganic","Ambient","i-a",2,25,75,72,77,76,75,2.2,1.08,2.88,37.5,375000,9375000,20.65649718,0.05,453852.360267405,187500000,8.27300127206374,"Montipora - Recovery Period"
"99","M-4-12","Montipora","4","T3","Guano","Ambient","g-a",2,25,93,92,105,119,102.25,12.6,6.32,12.35,51.13,511250,12781250,23.9940678,0.09,532683.749439101,142013888.888889,8.15233082024811,"Montipora - Recovery Period"
"100","M-4-17","Montipora","4","T3","Effluent","Ambient","e-a",2,25,137,130,144,117,132,11.5,5.76,8.73,66,660000,16500000,24.34943503,0.08,677633.792310622,206250000,8.31439395722196,"Montipora - Recovery Period"
"101","M-4-5","Montipora","4","T3","Control","Heated","c-h",4,25,79,74,76,71,75,3.4,1.68,4.49,18.75,187500,4687500,23.88305085,0.065,196268.895018494,72115384.6153846,7.85802792409292,"Montipora - Recovery Period"
"102","M-4-23","Montipora","4","T3","Inorganic","Heated","i-h",2,25,117,86,105,125,108.25,17,8.48,15.67,54.13,541250,13531250,29.14632768,0.0975,464252.311596876,138782051.282051,8.14233330233492,"Montipora - Recovery Period"
"103","M-4-24","Montipora","4","T3","Guano","Heated","g-h",3,25,113,155,156,135,139.75,20.3,10.14,14.52,46.58,465833,11645833,24.15932203,0.07,482043.03852313,166369042.857143,8.22107251806597,"Montipora - Recovery Period"
"104","M-4-25","Montipora","4","T3","Effluent","Heated","e-h",3,25,95,110,109,102,104,7,3.49,6.71,34.67,346667,8666667,28.06723164,0.075,308782.394757048,115555560,8.06279084656309,"Montipora - Recovery Period"
"105","M-7-2","Montipora","7","T3","Control","Ambient","c-a",3,25,102,127,131,119,119.75,12.8,6.42,10.72,39.92,399167,9979167,31.84067797,0.1,313409.375560479,99791670,7.99909429054568,"Montipora - Recovery Period"
"106","M-7-6","Montipora","7","T3","Inorganic","Ambient","i-a",4,25,85,121,122,86,103.5,20.8,10.4,20.09,25.88,258750,6468750,36.70875706,0.08,176218.17021554,80859375,7.90773038014507,"Montipora - Recovery Period"
"107","M-7-12","Montipora","7","T3","Guano","Ambient","g-a",2,25,107,111,141,104,115.75,17.1,8.54,14.75,57.88,578750,14468750,36.08531073,0.1375,400959.551332648,105227272.727273,8.02212831453177,"Montipora - Recovery Period"
"108","M-7-16","Montipora","7","T3","Effluent","Ambient","e-a",4,25,50,64,65,76,63.75,10.7,5.33,16.72,15.94,159375,3984375,19.02514124,0.0625,209426.828938485,63750000,7.80448018910599,"Montipora - Recovery Period"
"109","M-7-22","Montipora","7","T3","Control","Heated","c-h",4,25,8,11,10,8,9.25,1.5,0.75,16.22,2.31,23125,578125,30.32514124,0.05,19064.2145876449,11562500,7.06305174574709,"Montipora - Recovery Period"
"110","M-7-7","Montipora","7","T3","Inorganic","Ambient","i-a",3,25,81,81,80,59,75.25,10.8,5.42,14.41,25.08,250833,6270833,24.41779661,0.08,256814.040191975,78385412.5,7.89423524814089,"Montipora - Recovery Period"
"111","M-7-25","Montipora","7","T3","Effluent","Heated","e-h",4,25,20,18,14,16,17,2.6,1.29,15.19,4.25,42500,1062500,23.19632768,0.075,45804.6641976046,14166666.6666667,7.15126767533065,"Montipora - Recovery Period"
"112","M-8-2","Montipora","8","T3","Control","Ambient","c-a",1,25,159,119,132,124,133.5,17.8,8.91,13.35,133.5,1335000,33375000,35.7200565,0.1325,934349.026015678,251886792.45283,8.4012053960998,"Montipora - Recovery Period"
"113","M-8-7","Montipora","8","T3","Inorganic","Ambient","i-a",1,25,127,116,119,118,120,4.8,2.42,4.03,120,1200000,3e+07,43.70423729,0.1625,686432.297192024,184615384.615385,8.26626788940477,"Montipora - Recovery Period"
"114","M-8-12","Montipora","8","T3","Guano","Ambient","g-a",1,25,142,157,152,129,145,12.4,6.18,8.52,145,1450000,36250000,30.25169492,0.14,1198279.96731629,258928571.428571,8.41317997522877,"Montipora - Recovery Period"
