Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,Slurry Aliquot (ml),Vol,pan,pan_drymass,drymass,pan_burned_mass,AFDW_g.ml,AFDW_gdw
M-6-9,Montipora,6,T2,Inorganic,Heated,1,25,0.4153,0.4218,0.0065,0.4199,0.0046,0.0475
M-7-9,Montipora,7,T2,Inorganic,Heated,1,25,0.4133,0.4186,0.0053,0.4165,0.0032,0.0525
M-8-9,Montipora,8,T2,Inorganic,Heated,1,25,0.4221,0.4319,0.0098,0.4265,0.0044,0.135
M-9-9,Montipora,9,T2,Inorganic,Heated,1,25,0.4216,0.4241,0.0025,0.4227,0.0011,0.035
M-1-2,Montipora,1,T3,Control,Ambient,1,25,0.4208,0.4288,0.008,0.4255,0.0047,0.0825
M-2-2,Montipora,2,T3,Control,Ambient,1,25,0.4265,0.4325,0.006,0.4296,0.0031,0.0725
M-3-2,Montipora,3,T3,Control,Ambient,1,25,0.4231,0.4299,0.0068,0.4269,0.0038,0.075
M-4-2,Montipora,4,T3,Control,Ambient,1,25,0.4255,0.4339,0.0084,0.4302,0.0047,0.0925
M-5-2,Montipora,5,T3,Control,Ambient,1,25,0.428,0.4358,0.0078,0.4321,0.0041,0.0925
M-6-2,Montipora,6,T3,Control,Ambient,1,25,0.4267,0.4412,0.0145,0.4345,0.0078,0.1675
M-7-2,Montipora,7,T3,Control,Ambient,1,25,0.4274,0.4364,0.009,0.4324,0.005,0.1
M-8-2,Montipora,8,T3,Control,Ambient,1,25,0.4236,0.4343,0.0107,0.429,0.0054,0.1325
M-9-2,Montipora,9,T3,Control,Ambient,1,25,0.4262,0.4346,0.0084,0.4308,0.0046,0.095
M-1-17,Montipora,1,T3,Effluent,Ambient,1,25,0.4267,0.4347,0.008,0.431,0.0043,0.0925
M-2-17,Montipora,2,T3,Effluent,Ambient,1,25,0.4244,0.4346,0.0102,0.4295,0.0051,0.1275
M-3-17,Montipora,3,T3,Effluent,Ambient,1,25,0.4197,0.4261,0.0064,0.4229,0.0032,0.08
M-4-17,Montipora,4,T3,Effluent,Ambient,1,25,0.418,0.425,0.007,0.4218,0.0038,0.08
M-5-17,Montipora,5,T3,Effluent,Ambient,1,25,0.4256,0.4354,0.0098,0.431,0.0054,0.11
M-6-17,Montipora,6,T3,Effluent,Ambient,1,25,0.4229,0.4344,0.0115,0.4287,0.0058,0.1425
M-7-16,Montipora,7,T3,Effluent,Ambient,1,25,0.4295,0.4352,0.0057,0.4327,0.0032,0.0625
M-8-17,Montipora,8,T3,Effluent,Ambient,1,25,0.4191,0.43,0.0109,0.4244,0.0053,0.14
