Date,Time,Tank,Species,PAR
7/27/2023,10:45,MCAP AMB,Montipora,109.1
7/27/2023,11:00,MCAP AMB,Montipora,89.6
7/27/2023,11:15,MCAP AMB,Montipora,402.1
7/27/2023,11:30,MCAP AMB,Montipora,644.5
7/27/2023,11:45,MCAP AMB,Montipora,567.2
7/27/2023,12:00,MCAP AMB,Montipora,224.5
7/27/2023,12:15,MCAP AMB,Montipora,116.9
7/27/2023,12:30,MCAP AMB,Montipora,263.2
7/27/2023,12:45,MCAP AMB,Montipora,581.4
7/27/2023,13:00,MCAP AMB,Montipora,632.6
7/27/2023,13:15,MCAP AMB,Montipora,277.8
7/27/2023,13:30,MCAP AMB,Montipora,305.1
7/27/2023,13:45,MCAP AMB,Montipora,346.8
7/27/2023,14:00,MCAP AMB,Montipora,402.7
7/27/2023,14:15,MCAP AMB,Montipora,146.2
7/27/2023,14:30,MCAP AMB,Montipora,254.5
7/27/2023,14:45,MCAP AMB,Montipora,92.8
7/27/2023,15:00,MCAP AMB,Montipora,97.6
7/27/2023,15:15,MCAP AMB,Montipora,70.7
7/27/2023,15:30,MCAP AMB,Montipora,88.1
7/27/2023,15:45,MCAP AMB,Montipora,134.7
7/27/2023,16:00,MCAP AMB,Montipora,96.3
7/27/2023,16:15,MCAP AMB,Montipora,68.9
7/27/2023,16:30,MCAP AMB,Montipora,75.8
7/27/2023,16:45,MCAP AMB,Montipora,130.8
7/27/2023,17:00,MCAP AMB,Montipora,155.6
7/27/2023,17:15,MCAP AMB,Montipora,100.9
7/27/2023,17:30,MCAP AMB,Montipora,40
7/27/2023,17:45,MCAP AMB,Montipora,42.2
7/27/2023,18:00,MCAP AMB,Montipora,75.6
7/27/2023,18:15,MCAP AMB,Montipora,28.9
7/27/2023,18:30,MCAP AMB,Montipora,21.6
7/27/2023,18:45,MCAP AMB,Montipora,9.8
7/27/2023,19:00,MCAP AMB,Montipora,5.6
7/27/2023,19:15,MCAP AMB,Montipora,2.4
7/27/2023,19:30,MCAP AMB,Montipora,0.2
7/27/2023,19:45,MCAP AMB,Montipora,0
7/27/2023,20:00,MCAP AMB,Montipora,0
7/27/2023,20:15,MCAP AMB,Montipora,0
7/27/2023,20:30,MCAP AMB,Montipora,0
7/27/2023,20:45,MCAP AMB,Montipora,0
7/27/2023,21:00,MCAP AMB,Montipora,0
7/27/2023,21:15,MCAP AMB,Montipora,0
7/27/2023,21:30,MCAP AMB,Montipora,0
7/27/2023,21:45,MCAP AMB,Montipora,0
7/27/2023,22:00,MCAP AMB,Montipora,0
7/27/2023,22:15,MCAP AMB,Montipora,0
7/27/2023,22:30,MCAP AMB,Montipora,0
7/27/2023,22:45,MCAP AMB,Montipora,0
7/27/2023,23:00,MCAP AMB,Montipora,0
7/27/2023,23:15,MCAP AMB,Montipora,0
7/27/2023,23:30,MCAP AMB,Montipora,0
7/27/2023,23:45,MCAP AMB,Montipora,0
7/27/2023,0:00,MCAP AMB,Montipora,0
7/28/2023,0:15,MCAP AMB,Montipora,0
7/28/2023,0:30,MCAP AMB,Montipora,0
7/28/2023,0:45,MCAP AMB,Montipora,0
7/28/2023,1:00,MCAP AMB,Montipora,0
7/28/2023,1:15,MCAP AMB,Montipora,0
7/28/2023,1:30,MCAP AMB,Montipora,0
7/28/2023,1:45,MCAP AMB,Montipora,0
7/28/2023,2:00,MCAP AMB,Montipora,0
7/28/2023,2:15,MCAP AMB,Montipora,0
7/28/2023,2:30,MCAP AMB,Montipora,0
7/28/2023,2:45,MCAP AMB,Montipora,0
7/28/2023,3:00,MCAP AMB,Montipora,0
7/28/2023,3:15,MCAP AMB,Montipora,0
7/28/2023,3:30,MCAP AMB,Montipora,0
7/28/2023,3:45,MCAP AMB,Montipora,0
7/28/2023,4:00,MCAP AMB,Montipora,0
7/28/2023,4:15,MCAP AMB,Montipora,0
7/28/2023,4:30,MCAP AMB,Montipora,0
7/28/2023,4:45,MCAP AMB,Montipora,0
7/28/2023,5:00,MCAP AMB,Montipora,0
7/28/2023,5:15,MCAP AMB,Montipora,0
7/28/2023,5:30,MCAP AMB,Montipora,0
7/28/2023,5:45,MCAP AMB,Montipora,0
7/28/2023,6:00,MCAP AMB,Montipora,0
7/28/2023,6:15,MCAP AMB,Montipora,1.2
7/28/2023,6:30,MCAP AMB,Montipora,8
7/28/2023,6:45,MCAP AMB,Montipora,17.4
7/28/2023,7:00,MCAP AMB,Montipora,19.1
7/28/2023,7:15,MCAP AMB,Montipora,20
7/28/2023,7:30,MCAP AMB,Montipora,22.3
7/28/2023,7:45,MCAP AMB,Montipora,31.6
7/28/2023,8:00,MCAP AMB,Montipora,53.1
7/28/2023,8:15,MCAP AMB,Montipora,85.2
7/28/2023,8:30,MCAP AMB,Montipora,74.8
7/28/2023,8:45,MCAP AMB,Montipora,65.3
7/28/2023,9:00,MCAP AMB,Montipora,69.7
7/28/2023,9:15,MCAP AMB,Montipora,60.3
7/28/2023,9:30,MCAP AMB,Montipora,159.6
7/28/2023,9:45,MCAP AMB,Montipora,246.9
7/28/2023,10:00,MCAP AMB,Montipora,124.7
7/28/2023,10:15,MCAP AMB,Montipora,605
7/28/2023,10:30,MCAP AMB,Montipora,259.2
7/28/2023,10:45,MCAP AMB,Montipora,64.7
7/28/2023,11:00,MCAP AMB,Montipora,190.1
7/28/2023,11:15,MCAP AMB,Montipora,588.2
7/28/2023,11:30,MCAP AMB,Montipora,688.7
7/28/2023,11:45,MCAP AMB,Montipora,695.1
7/28/2023,12:00,MCAP AMB,Montipora,467.3
7/28/2023,12:15,MCAP AMB,Montipora,564
7/28/2023,12:30,MCAP AMB,Montipora,469.3
7/28/2023,12:45,MCAP AMB,Montipora,502.3
7/28/2023,13:00,MCAP AMB,Montipora,548.4
7/28/2023,13:15,MCAP AMB,Montipora,120.9
7/28/2023,13:30,MCAP AMB,Montipora,123
7/28/2023,13:45,MCAP AMB,Montipora,122.2
7/28/2023,14:00,MCAP AMB,Montipora,195.2
7/28/2023,14:15,MCAP AMB,Montipora,121.7
7/28/2023,14:30,MCAP AMB,Montipora,127.6
7/28/2023,14:45,MCAP AMB,Montipora,101.4
7/28/2023,15:00,MCAP AMB,Montipora,88.2
7/28/2023,15:15,MCAP AMB,Montipora,70.8
7/28/2023,15:30,MCAP AMB,Montipora,65.1
7/28/2023,15:45,MCAP AMB,Montipora,49.7
7/28/2023,16:00,MCAP AMB,Montipora,49.1
7/28/2023,16:15,MCAP AMB,Montipora,78.5
7/28/2023,16:30,MCAP AMB,Montipora,65.9
7/28/2023,16:45,MCAP AMB,Montipora,79.7
7/28/2023,17:00,MCAP AMB,Montipora,227.1
7/28/2023,17:15,MCAP AMB,Montipora,278.2
7/28/2023,17:30,MCAP AMB,Montipora,33.7
7/28/2023,17:45,MCAP AMB,Montipora,36.5
7/28/2023,18:00,MCAP AMB,Montipora,88.3
7/28/2023,18:15,MCAP AMB,Montipora,18.1
7/28/2023,18:30,MCAP AMB,Montipora,14.4
7/28/2023,18:45,MCAP AMB,Montipora,10.8
7/28/2023,19:00,MCAP AMB,Montipora,5.3
7/28/2023,19:15,MCAP AMB,Montipora,2.3
7/28/2023,19:30,MCAP AMB,Montipora,0.4
7/28/2023,19:45,MCAP AMB,Montipora,0
7/28/2023,20:00,MCAP AMB,Montipora,0
7/28/2023,20:15,MCAP AMB,Montipora,0
7/28/2023,20:30,MCAP AMB,Montipora,0
7/28/2023,20:45,MCAP AMB,Montipora,0
7/28/2023,21:00,MCAP AMB,Montipora,0
7/28/2023,21:15,MCAP AMB,Montipora,0
7/28/2023,21:30,MCAP AMB,Montipora,0
7/28/2023,21:45,MCAP AMB,Montipora,0
7/28/2023,22:00,MCAP AMB,Montipora,0
7/28/2023,22:15,MCAP AMB,Montipora,0
7/28/2023,22:30,MCAP AMB,Montipora,0
7/28/2023,22:45,MCAP AMB,Montipora,0
7/28/2023,23:00,MCAP AMB,Montipora,0
7/28/2023,23:15,MCAP AMB,Montipora,0
7/28/2023,23:30,MCAP AMB,Montipora,0
7/28/2023,23:45,MCAP AMB,Montipora,0
7/28/2023,0:00,MCAP AMB,Montipora,0
7/29/2023,0:15,MCAP AMB,Montipora,0
7/29/2023,0:30,MCAP AMB,Montipora,0
7/29/2023,0:45,MCAP AMB,Montipora,0
7/29/2023,1:00,MCAP AMB,Montipora,0
7/29/2023,1:15,MCAP AMB,Montipora,0
7/29/2023,1:30,MCAP AMB,Montipora,0
7/29/2023,1:45,MCAP AMB,Montipora,0
7/29/2023,2:00,MCAP AMB,Montipora,0
7/29/2023,2:15,MCAP AMB,Montipora,0
7/29/2023,2:30,MCAP AMB,Montipora,0
7/29/2023,2:45,MCAP AMB,Montipora,0
7/29/2023,3:00,MCAP AMB,Montipora,0
7/29/2023,3:15,MCAP AMB,Montipora,0
7/29/2023,3:30,MCAP AMB,Montipora,0
7/29/2023,3:45,MCAP AMB,Montipora,0
7/29/2023,4:00,MCAP AMB,Montipora,0
7/29/2023,4:15,MCAP AMB,Montipora,0
7/29/2023,4:30,MCAP AMB,Montipora,0
7/29/2023,4:45,MCAP AMB,Montipora,0
7/29/2023,5:00,MCAP AMB,Montipora,0
7/29/2023,5:15,MCAP AMB,Montipora,0
7/29/2023,5:30,MCAP AMB,Montipora,0
7/29/2023,5:45,MCAP AMB,Montipora,0
7/29/2023,6:00,MCAP AMB,Montipora,0
7/29/2023,6:15,MCAP AMB,Montipora,0.6
7/29/2023,6:30,MCAP AMB,Montipora,3.6
7/29/2023,6:45,MCAP AMB,Montipora,16.3
7/29/2023,7:00,MCAP AMB,Montipora,19.2
7/29/2023,7:15,MCAP AMB,Montipora,21.9
7/29/2023,7:30,MCAP AMB,Montipora,34.1
7/29/2023,7:45,MCAP AMB,Montipora,65.2
7/29/2023,8:00,MCAP AMB,Montipora,76.9
7/29/2023,8:15,MCAP AMB,Montipora,80.5
7/29/2023,8:30,MCAP AMB,Montipora,66.1
7/29/2023,8:45,MCAP AMB,Montipora,97.5
