Frag_ID,Species,Genotype,Timepoint,Treatment,Temperature,T-T,Chl-a 1,Chl-a 2,Chl-c2 1,Chl-c2 2,Chl1,Chl2,Total_Chl_ug.mL,SD,CV,Slurry_Vol.mL
M-8-13,Montipora,8,T1,Guano,Ambient,G_AMB,1.680490141,1.742566197,0.55691831,0.499335211,2.237408451,2.241901408,2.23965493,0.003177001,0.001418522,25
M-9-13,Montipora,9,T1,Guano,Ambient,G_AMB,2.359323944,2.59343662,0.769246479,0.869091549,3.128570423,3.462528169,3.295549296,0.236143787,0.071655365,25
M-1-8,Montipora,1,T1,Inorganic,Ambient,I_AMB,1.018566197,1.153730986,0.305138028,0.603029578,1.323704225,1.756760563,1.540232394,0.306217073,0.198812254,25
M-2-8,Montipora,2,T1,Inorganic,Ambient,I_AMB,1.536967606,1.5079,0.477532394,0.490550704,2.0145,1.998450704,2.006475352,0.011348566,0.005655971,25
M-3-8,Montipora,3,T1,Inorganic,Ambient,I_AMB,1.847542254,1.911022535,0.587176056,0.673047887,2.43471831,2.584070423,2.509394366,0.105607892,0.042085012,25
M-4-8,Montipora,4,T1,Inorganic,Ambient,I_AMB,1.991501408,1.85914507,0.242294366,0.231312676,2.233795775,2.090457746,2.162126761,0.101355292,0.04687759,25
M-5-8,Montipora,5,T1,Inorganic,Ambient,I_AMB,1.476784507,1.691901408,0.454990141,0.750211268,1.931774648,2.442112676,2.186943662,0.36086348,0.165008128,25
M-6-8,Montipora,6,T1,Inorganic,Ambient,I_AMB,0.703123944,0.680971831,0.401530986,0.257091549,1.10465493,0.93806338,1.021359155,0.117798014,0.115334565,25
M-7-8,Montipora,7,T1,Inorganic,Ambient,I_AMB,1.399588732,1.459411268,0.543883099,0.581687324,1.943471831,2.041098592,1.992285211,0.069032544,0.034649931,25
M-8-8,Montipora,8,T1,Inorganic,Ambient,I_AMB,3.338080282,3.351397183,0.662898592,0.707898592,4.000978873,4.059295775,4.030137324,0.041236276,0.010231978,25
M-9-8,Montipora,9,T1,Inorganic,Ambient,I_AMB,1.513360563,1.544746479,0.462308451,0.486422535,1.975669014,2.031169014,2.003419014,0.039244426,0.019588726,25
M-1-4,Montipora,1,T2,Control,Heated,C_HEAT,0.769694366,0.809657747,0.221340845,0.288173239,0.991035211,1.097830986,1.044433099,0.075516016,0.072303354,25
M-2-4,Montipora,2,T2,Control,Heated,C_HEAT,0.495246479,0.451277465,0.611450704,0.44364507,1.106697183,0.894922535,1.000809859,0.14974729,0.149626114,25
BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,-0.030239437,0.013677465,0.062619718,0.029738028,0.032380282,0.043415493,0.037897887,0.007803073,0.205897301,25
