"","ID","Timepoint","Aquaria","Tank","Species","Treatment","Temperature","Nutrient","Concentration","Concentration_log10","Normalized","Sample"
"110",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","TN",48.17,1.68277664631443,0.677720207253886,"Effluent_T3"
"111",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","TP",1.85,0.267171728403014,0.126666666666667,"Effluent_T3"
"112",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","PO4",1.78,0.250420002308894,0.133667502088555,"Effluent_T3"
"113",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","SiO4",5.77,0.761175813155731,0.205184776613348,"Effluent_T3"
"114",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","N+N",5.92,0.77232170672292,0.4773735581189,"Effluent_T3"
"115",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","NH4",31.27,1.49512788124293,0.520879495483211,"Effluent_T3"
"116",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","TIN",37.19,1.57042617835897,0.602054563826204,"Effluent_T3"
"117",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","N_to_P",26.0378378378378,26.0378378378378,0.563215569077607,"Effluent_T3"
"118",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","DON",10.98,1.04060234011407,0.541575492341357,"Effluent_T3"
"119",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOP",0.0700000000000001,-1.15490195998574,0.0366972477064222,"Effluent_T3"
"120",31,"T3","M-Dosing","Dosing","Montipora","Effluent","Ambient","DOC",119.73,2.07820298250369,0.507423292642692,"Effluent_T3"
"121",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","TN",48.17,1.68277664631443,0.677720207253886,"Effluent_T3"
"122",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","TP",1.85,0.267171728403014,0.126666666666667,"Effluent_T3"
"123",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","PO4",1.78,0.250420002308894,0.133667502088555,"Effluent_T3"
"124",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","SiO4",5.77,0.761175813155731,0.205184776613348,"Effluent_T3"
"125",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","N+N",5.92,0.77232170672292,0.4773735581189,"Effluent_T3"
"126",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","NH4",31.27,1.49512788124293,0.520879495483211,"Effluent_T3"
"127",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","TIN",37.19,1.57042617835897,0.602054563826204,"Effluent_T3"
"128",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","N_to_P",26.0378378378378,26.0378378378378,0.563215569077607,"Effluent_T3"
"129",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","DON",10.98,1.04060234011407,0.541575492341357,"Effluent_T3"
"130",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","DOP",0.0700000000000001,-1.15490195998574,0.0366972477064222,"Effluent_T3"
"131",32,"T3","P-Dosing","Dosing","Porites","Effluent","Ambient","DOC",119.73,2.07820298250369,0.507423292642692,"Effluent_T3"
"132",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","TN",57.27,1.75792718311333,0.834887737478411,"Guano_T1"
"133",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","TP",12.33,1.09096307659573,1,"Guano_T1"
"134",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","PO4",12.15,1.08457627793433,1,"Guano_T1"
"135",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","SiO4",4.9,0.690196080028514,0.157198014340872,"Guano_T1"
"136",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","N+N",0.91,-0.0409586076789064,0.0328305235137533,"Guano_T1"
"137",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","NH4",37.1,1.56937390961505,0.620248849497188,"Guano_T1"
"138",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","TIN",38.01,1.5798978696031,0.615863927248232,"Guano_T1"
"139",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","N_to_P",4.64476885644769,4.64476885644769,0,"Guano_T1"
"140",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","DON",19.26,1.28465628278852,0.9945295404814,"Guano_T1"
"141",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","DOP",0.18,-0.744727494896695,0.137614678899082,"Guano_T1"
"142",37,"T1","P-Dosing","Dosing","Porites","Guano","Ambient","DOC",114.04,2.05705720863742,0.413559881227318,"Guano_T1"
"143",38,"T1","M-Dosing","Dosing","Montipora","Guano","Ambient","TN",57.74,1.7614767795447,0.84300518134715,"Guano_T1"
